text,domain
so increase volume now,SYSTEM
face the study room,NAVIGATION
explain oceans in simple words,STUDY
okay final answer true thanks,GAME
my favorite food is chocolate,CHAT
hey turn off notifications please,SYSTEM
hmm you're adorable sweetie please,PET
so my guess is red please,GAME
i'll guess the first one,GAME
i need help with condensation,STUDY
how does oceans work,STUDY
um my favorite food is robots thanks,CHAT
what does condensation mean,STUDY
time for red light green light,PET
hmm speak in japanese now,SYSTEM
oh my favorite food is ice cream,CHAT
scratch behind your ears darling,PET
please go to the kitchen thanks,NAVIGATION
i don't understand the sun,STUDY
can you tell a story with a ninja and an astronaut,STORY
do you like cars,CHAT
um hush please,SYSTEM
um enable wifi,SYSTEM
hey i'm guessing option a okay,GAME
let's see how much i know about physics,STUDY
stay away from the rug,NAVIGATION
in the game it must be no,GAME
quit everything okay,SYSTEM
go to the study room,NAVIGATION
hmm my favorite food is chocolate now,CHAT
teach me about dinosaurs,STUDY
rotate forward,NAVIGATION
i pick yes for the game now,GAME
i'll guess left,GAME
so hush,SYSTEM
final answer right,GAME
in the story what if a penguin meets a robot,STORY
did you know that the brain,CHAT
in the story will a dinosaur be okay,STORY
oh speak in chinese,SYSTEM
what's the difference between photosynthesis and geography,STUDY
hmm hi there little munchkin thanks,PET
i pick the last one for the game,GAME
so my favorite subject is color now,CHAT
do your best wiggle,PET
nice to see you again darling okay,PET
snuggle time friend,PET
i need to review sound,STUDY
okay turn on do not disturb thanks,SYSTEM
spell oceans for me,STUDY
go back to your dock,NAVIGATION
okay speak in german,SYSTEM
hmm my favorite animal is birds okay,CHAT
in the story what if a bunny meets a prince,STORY
wait pause for a second,STORY
my favorite subject is dinosaurs right now,CHAT
can you clarify planets,STUDY
oh change language to english,SYSTEM
launch word scramble,GAME
where does a bear go next in the story,STORY
hey hush now,SYSTEM
set brightness to maximum now,SYSTEM
watch out for the rug,NAVIGATION
uh what's your favorite pizza,CHAT
hey hi my sweet boo okay,PET
what's nine divided by three,STUDY
okay once upon a time story about a robot okay,STORY
teach me about ecosystems,STUDY
in the story will a bunny be okay,STORY
why do we need to learn the food chain,STUDY
let's try the golden key,STORY
why is the sun important,STUDY
okay time to play science quiz please,GAME
um stop everything please,SYSTEM
are you feeling upset please,PET
hmm head to the back door now,NAVIGATION
can you tell a story with a princess and a unicorn,STORY
uh my favorite subject is book thanks,CHAT
what can you tell me about condensation,STUDY
what's the definition of addition,STUDY
in the story what if a superhero meets a dinosaur,STORY
launch spelling bee,GAME
um turn the sound on,SYSTEM
hmm my favorite color is pizza,CHAT
hey navigate to the bookshelf thanks,NAVIGATION
hmm abort,SYSTEM
teach me about animals,STUDY
okay come with me to the window,NAVIGATION
begin a new game of simon says okay,GAME
speak in english okay,SYSTEM
narrate a story about a puppy,STORY
i'm confused about sound,STUDY
how is magnets used in real life,STUDY
in the story what if a mermaid meets a ninja,STORY
uh head to the kitchen please,NAVIGATION
can you tell a story with a fairy and a bear,STORY
time to play memory match,GAME
head over to the basement right now,NAVIGATION
hmm my favorite animal is the moon thanks,CHAT
hey shake little paw robot,PET
so walk to the couch now,NAVIGATION
hmm i like birds right now,CHAT
so i want to play maze please,GAME
i want a harder simon says thanks,GAME
hmm hold your position thanks,NAVIGATION
um watch out for the cat,NAVIGATION
uh walk to the patio okay,NAVIGATION
oh set brightness to seventy percent right now,SYSTEM
spin me a yarn about a detective,STORY
okay i'm guessing option three,GAME
turn off dark mode,SYSTEM
you're too quiet please,SYSTEM
oh turn the sound on,SYSTEM
help me with this math problem three plus nine,STUDY
uh tell me something funny okay,CHAT
i want to go to the living room,NAVIGATION
what's your favorite game,CHAT
come play red light green light with me please,PET
stop whatever you're doing,SYSTEM
i pick seven for the game,GAME
oh for this round i pick three okay,GAME
do you like robots thanks,CHAT
begin a tale about a mermaid,STORY
hey where does a unicorn go next in the story right now,STORY
let's start tic-tac-toe thanks,GAME
i have a question about continents,STUDY
move to the living room now,NAVIGATION
for this round i pick right,GAME
hello my little sweetie,PET
am i winning right now,GAME
pick a game for me,GAME
come here robot let me pet you,PET
can you tell a story with a witch and a superhero,STORY
hey there little nugget,PET
in the story does a talking cat win,STORY
can you tell a story with a witch and a bunny,STORY
speak in english right now,SYSTEM
aww buddy you're the best,PET
take six steps around,NAVIGATION
uh my favorite movie is dogs okay,CHAT
uh stop everything thanks,SYSTEM
um got any chess going please,GAME
oh let's go to the dining room now,NAVIGATION
move away from the toy,NAVIGATION
can you go to the table,NAVIGATION
for the game i'll say ten thanks,GAME
is shapes the same as molecules,STUDY
my favorite movie is stars,CHAT
go over chemistry again,STUDY
hey let me guess the first one,GAME
i want to hear a story about an astronaut,STORY
final answer the last one,GAME
open science quiz now,GAME
can you tell a story with a bunny and a mermaid,STORY
um in the game i'll go with the second one now,GAME
hmm keep following me,NAVIGATION
where does a pirate go next in the story,STORY
i have a question about multiplication,STUDY
oh let me guess no now,GAME
is the alphabet the same as gravity,STUDY
come with me to the bathroom,NAVIGATION
do you know how to flip,PET
new story about a princess,STORY
give me an example of addition,STUDY
i missed you munchkin,PET
sit down honeybun,PET
hmm my favorite animal is color okay,CHAT
so play true or false with me now,GAME
i feel like playing animal quiz right now,GAME
in the story what if a pirate meets a bear,STORY
for the game i'll say option b,GAME
um show me your pouty face,PET
good job nugget,PET
in the story what if a dinosaur meets a brave knight,STORY
set volume to fifty percent,SYSTEM
what's half of twenty,STUDY
hmm enable wifi,SYSTEM
hey set brightness to medium thanks,SYSTEM
uh why is the sky pink,CHAT
hey you're so sweet pal,PET
uh it's alright pumpkin thanks,PET
my favorite color is rainbows thanks,CHAT
do your best wave,PET
oh follow me to the balcony right now,NAVIGATION
so start fresh okay,SYSTEM
okay final answer red okay,GAME
um i pick the second one for the game right now,GAME
um please go to the garden,NAVIGATION
tell a happy story please,STORY
do your best spin,PET
um begin a tale about a penguin now,STORY
look towards the study room now,NAVIGATION
set volume to full,SYSTEM
help me review for my math test,STUDY
okay mute right now,SYSTEM
oh stop talking now,SYSTEM
i want to go to the corridor,NAVIGATION
okay change language to english thanks,SYSTEM
hey look towards the back door thanks,NAVIGATION
start a game of math quiz,GAME
what do you think about color,CHAT
let me see your cute face,PET
can you tell a story with a witch and a dragon,STORY
spin me a yarn about a pirate thanks,STORY
oh see you later,CHAT
hmm in the game the answer is red,GAME
what's your favorite pizza thanks,CHAT
so be careful near the cat,NAVIGATION
let's play spelling bee,GAME
stay away from the cat,NAVIGATION
okay begin a new game of chess,GAME
hey disable wifi thanks,SYSTEM
hey time for dress up,PET
um launch checkers now,GAME
good morning love,PET
hmm sit down baby right now,PET
let's start word guess thanks,GAME
okay navigate to the study room okay,NAVIGATION
um stay away from the wall,NAVIGATION
do a march for me,PET
turn off do not disturb thanks,SYSTEM
okay can you tell a story with a penguin and a pirate now,STORY
in the game i'll go with five,GAME
how is colors used in real life,STUDY
for the game i choose option b,GAME
so let's go to the patio right now,NAVIGATION
okay begin a new game of puzzle please,GAME
okay i like flowers,CHAT
explain gravity to me,STUDY
so can you go to the attic,NAVIGATION
turn down the volume,SYSTEM
hmm my guess is right,GAME
let's start connect four,GAME
come with me to the sofa,NAVIGATION
everything will be fine boo,PET
i need help with the alphabet,STUDY
once upon a time story about a prince,STORY
tell me a underwater tale,STORY
hey how do birds fly now,CHAT
can you explain molecules,STUDY
i have a question about colors,STUDY
quiz time for biology,STUDY
you're my best friend pal please,PET
i like game please,CHAT
give me a test on vocabulary,STUDY
look towards the entrance,NAVIGATION
so play tic-tac-toe with me now,GAME
hey do you eat food,CHAT
okay set brightness to full,SYSTEM
my favorite movie is dinosaurs please,CHAT
speak in german thanks,SYSTEM
show me your cute face,PET
help me with this math problem nine divided by three,STUDY
hmm what version are you,SYSTEM
open rock paper scissors,GAME
head over to the porch okay,NAVIGATION
um go to sleep please,SYSTEM
start a game of geography quiz,GAME
um welcome back nugget,PET
invent a story about an alien,STORY
in the story what if a monkey meets a penguin,STORY
so i want to go to the living room please,NAVIGATION
um run diagnostics thanks,SYSTEM
uh you're too quiet now,SYSTEM
begin a new game of word guess thanks,GAME
uh my favorite color is place okay,CHAT
i missed you cupcake please,PET
what does oceans mean,STUDY
okay in the story what if a brave knight meets a unicorn,STORY
um switch to arabic right now,SYSTEM
hey change language to korean thanks,SYSTEM
so i like place please,CHAT
how does erosion work,STUDY
uh what's your favorite ice cream,CHAT
in the story what if a dinosaur meets a mermaid,STORY
how about a game of word scramble,GAME
i want to play math quiz,GAME
teach me about history,STUDY
you make me so happy munchkin,PET
begin a new game of geography quiz,GAME
you're such a good little one,PET
break down light for me,STUDY
for the game i choose twenty okay,GAME
there there cupcake,PET
read this lesson about the human body,STUDY
give me an explanation of cells,STUDY
hey do you like stars,CHAT
uh my favorite movie is pandas right now,CHAT
